,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"816,013,000","844,501,397","830,687,452","815,399,087"
1,Cost of Revenue,"316,476,000","330,532,450","328,510,002","323,468,972"
2,Gross Profit,"499,537,000","513,968,947","502,177,450","491,930,115"
3,Operating Expense,"324,787,000","343,098,195","334,621,200","343,117,308"
4,Operating Income,"174,750,000","170,870,752","167,556,250","148,812,807"
5,Net Non Operating Interest Income Expense,"-61,732,000","-37,338,999","-42,021,058","-46,187,335"
6,Other Income Expense,"7,688,000","737,746","-20,727,543","-50,008,123"
7,Pretax Income,"120,706,000","134,269,499","104,807,649","52,617,349"
8,Tax Provision,"34,544,000","46,044,089","32,717,477","13,178,171"
9,Earnings from Equity Interest Net of Tax,"-5,372,000",-,"114,000",-
10,Net Income Common Stockholders,"76,111,000","76,159,391","192,423,167","46,852,605"
11,Diluted NI Available to Com Stockholders,"76,111,000","76,159,391","192,423,167","46,852,605"
12,Basic EPS,22.80,23.80,58.20,14.00
13,Diluted EPS,22.80,23.80,58.20,14.00
14,Basic Average Shares,"3,148,619","3,196,800","3,298,350","3,313,250"
15,Diluted Average Shares,"3,148,619","3,196,800","3,298,350","3,313,250"
16,Total Operating Income as Reported,-,"170,870,752","167,556,250","148,812,807"
17,Total Expenses,"641,263,000","673,630,645","663,131,202","666,586,280"
18,Net Income from Continuing & Discontinued Operation,"76,111,000","76,159,391","192,423,167","46,852,605"
19,Normalized Income,"65,650,725","81,203,596","82,526,150","72,505,943"
20,Interest Income,-,"4,823,579","3,834,150","5,060,636"
21,Interest Expense,"34,917,000","52,311,910","48,829,641","49,558,317"
22,Net Interest Income,"-61,732,000","-37,338,999","-42,021,058","-46,187,335"
23,EBIT,"155,623,000","186,581,409","153,637,290","102,175,666"
24,EBITDA,"307,409,000","345,215,195","309,940,282","256,391,086"
25,Reconciled Cost of Revenue,"316,476,000","330,532,450","328,510,002","323,468,972"
26,Reconciled Depreciation,"151,786,000","158,633,786","156,302,992","154,215,420"
27,Net Income from Continuing Operation Net Minority Interest,"76,111,000","82,878,406","68,187,225","35,264,826"
28,Total Unusual Items Excluding Goodwill,"14,654,000","2,549,178","-20,841,461","-49,721,117"
29,Total Unusual Items,"14,654,000","2,549,178","-20,841,461","-49,721,117"
30,Normalized EBITDA,"292,755,000","342,666,017","330,781,743","306,112,203"
31,Tax Rate for Calcs,0,0,0,0
32,Tax Effect of Unusual Items,"4,193,725","874,368","-6,502,536","-12,480,000"
33,Breakdown,12/31/2022,12/31/2021,12/31/2020,
34,Total Assets,"1,618,099,344","1,689,649,849","1,625,048,227",
35,Total Liabilities Net Minority Interest,"1,180,270,071","1,235,608,123","1,309,930,609",
36,Total Equity Gross Minority Interest,"437,829,273","454,041,726","315,117,618",
37,Total Capitalization,"782,369,770","808,442,357","730,778,575",
38,Common Stock Equity,"373,804,704","389,634,927","250,478,803",
39,Capital Lease Obligations,"134,148,811","98,667,575","109,341,151",
40,Net Tangible Assets,"103,789,917","109,830,969","-26,031,023",
41,Working Capital,"-127,873,244","-129,856,097","-151,627,785",
42,Invested Capital,"884,394,184","953,651,679","878,847,849",
43,Tangible Book Value,"103,789,917","109,830,969","-26,031,023",
44,Total Debt,"644,738,291","662,684,327","737,710,197",
45,Net Debt,"476,888,531","525,336,861","592,451,139",
46,Share Issued,"63,325,000","66,639,000","66,862,000",
47,Ordinary Shares Number,"63,325,000","66,639,000","66,862,000",
