,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"26,948,900","26,948,900","26,985,000","25,844,000","20,390,000"
1,Cost of Revenue,"21,817,400","21,817,400","21,719,700","20,891,400","16,823,600"
2,Gross Profit,"5,131,500","5,131,500","5,265,300","4,952,600","3,566,400"
3,Operating Expense,"3,479,600","3,479,600","3,240,800","3,049,800","2,627,400"
4,Operating Income,"1,651,900","1,651,900","2,024,500","1,902,800","939,000"
5,Net Non Operating Interest Income Expense,"-326,100","-326,100","-176,300","-118,700","-157,500"
6,Other Income Expense,"24,400","24,400","-14,700","24,300","-231,400"
7,Pretax Income,"1,350,200","1,350,200","1,833,500","1,808,400","550,100"
8,Tax Provision,"330,000","330,000","455,800","435,100","168,300"
9,Net Income Common Stockholders,"1,021,100","1,021,100","1,377,400","1,373,000","381,600"
10,Diluted NI Available to Com Stockholders,"1,021,100","1,021,100","1,377,400","1,373,000","381,600"
11,Basic EPS,23.59,22.89,24.29,18.31,4.30
12,Diluted EPS,23.42,22.74,24.29,18.31,4.30
13,Basic Average Shares,"46,400","44,600","56,700","75,000","88,700"
14,Diluted Average Shares,"46,725","44,900","56,706","75,000","88,744"
15,Total Operating Income as Reported,"1,651,900","1,651,900","2,024,500","1,902,800","563,200"
16,Total Expenses,"25,297,000","25,297,000","24,960,500","23,941,200","19,451,000"
17,Net Income from Continuing & Discontinued Operation,"1,021,100","1,021,100","1,377,400","1,373,000","381,600"
18,Normalized Income,"1,020,200","1,020,200","1,377,700","1,373,300","642,605"
19,Interest Income,-,-,-,-,300
20,Interest Expense,"326,100","326,100","176,300","118,700","157,500"
21,Net Interest Income,"-326,100","-326,100","-176,300","-118,700","-157,500"
22,EBIT,"1,676,300","1,676,300","2,009,800","1,927,100","707,600"
23,EBITDA,"1,896,800","1,896,800","2,210,100","2,120,400","906,500"
24,Reconciled Cost of Revenue,"21,817,400","21,817,400","21,719,700","20,891,400","16,823,600"
25,Reconciled Depreciation,"220,500","220,500","200,300","193,300","198,900"
26,Net Income from Continuing Operation Net Minority Interest,"1,020,200","1,020,200","1,377,700","1,373,300","381,800"
27,Total Unusual Items Excluding Goodwill,-,-,0,0,"-375,800"
28,Total Unusual Items,-,-,0,0,"-375,800"
29,Normalized EBITDA,"1,896,800","1,896,800","2,210,100","2,120,400","1,282,300"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,0,0,0,0,"-114,995"
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"11,980,000","10,059,700","8,943,600","9,887,200",
34,Total Liabilities Net Minority Interest,"9,768,600","8,011,900","6,566,600","6,651,500",
35,Total Equity Gross Minority Interest,"2,211,400","2,047,800","2,377,000","3,235,700",
36,Total Capitalization,"5,588,900","5,947,600","5,223,200","5,028,300",
37,Common Stock Equity,"2,211,400","2,047,800","2,377,000","3,235,700",
38,Capital Lease Obligations,"363,200","296,900","297,900","324,900",
39,Net Tangible Assets,"-182,200","-109,300","398,200","1,529,200",
40,Working Capital,"-1,275,600","-267,700","-248,100","-13,200",
41,Invested Capital,"9,882,500","8,130,200","7,033,000","8,097,400",
42,Tangible Book Value,"-182,200","-109,300","398,200","1,529,200",
43,Total Debt,"8,034,300","6,379,300","4,953,900","5,186,600",
44,Net Debt,"7,610,300","6,009,800","4,595,600","4,292,100",
45,Share Issued,"63,562","63,562","86,562","102,562",
46,Ordinary Shares Number,"41,645","47,647","62,611","83,484",
47,Treasury Shares Number,"21,918","15,915","23,952","19,079",
