,Breakdown,ttm,1/31/2023,1/31/2022,1/31/2021
0,Total Revenue,"4,027,584","3,697,751","3,712,768","3,125,384"
1,Cost of Revenue,"1,579,456","1,593,213","1,400,773","1,234,179"
2,Gross Profit,"2,448,128","2,104,538","2,311,995","1,891,205"
3,Operating Expense,"2,090,105","1,997,859","1,956,811","1,838,737"
4,Operating Income,"358,023","106,679","355,184","52,468"
5,Net Non Operating Interest Income Expense,"-9,324","-25,632","-34,110","-28,274"
6,Other Income Expense,"-9,131","-14,031","-12,100","-72,937"
7,Pretax Income,"339,568","67,016","308,974","-48,743"
8,Tax Provision,"124,567","56,631","38,908","60,211"
9,Net Income Common Stockholders,"208,009","2,816","263,010","-114,021"
10,Diluted NI Available to Com Stockholders,"208,009","2,816","263,010","-114,021"
11,Basic EPS,4.14,0.06,4.41,-1.82
12,Diluted EPS,4.00,0.05,4.20,-1.82
13,Basic Average Shares,"49,906","50,307","59,597","62,551"
14,Diluted Average Shares,"53,438","52,327","62,636","62,551"
15,Total Operating Income as Reported,"348,892","92,648","343,084","-20,469"
16,Total Expenses,"3,669,561","3,591,072","3,357,584","3,072,916"
17,Net Income from Continuing & Discontinued Operation,"208,009","2,816","263,010","-114,021"
18,Normalized Income,"213,790","13,900","273,585","-60,777"
19,Interest Income,"21,518","4,604","3,848","3,452"
20,Interest Expense,"30,842","30,236","37,958","31,726"
21,Net Interest Income,"-9,324","-25,632","-34,110","-28,274"
22,EBIT,"370,410","97,252","346,932","-17,017"
23,EBITDA,"509,807","229,495","490,967","149,264"
24,Reconciled Cost of Revenue,"1,579,456","1,593,213","1,400,773","1,234,179"
25,Reconciled Depreciation,"139,397","132,243","144,035","166,281"
26,Net Income from Continuing Operation Net Minority Interest,"208,009","2,816","263,010","-114,021"
27,Total Unusual Items Excluding Goodwill,"-9,131","-14,031","-12,100","-72,937"
28,Total Unusual Items,"-9,131","-14,031","-12,100","-72,937"
29,Normalized EBITDA,"518,938","243,526","503,067","222,201"
30,Tax Rate for Calcs,0,0,0,0
31,Tax Effect of Unusual Items,"-3,350","-2,947","-1,525","-19,693"
32,Breakdown,1/31/2023,1/31/2022,1/31/2021,
33,Total Assets,"2,713,100","2,939,491","3,314,902",
34,Total Liabilities Net Minority Interest,"2,006,531","2,102,167","2,365,590",
35,Total Equity Gross Minority Interest,"706,569","837,324","949,312",
36,Total Capitalization,"991,693","1,129,664","1,280,538",
37,Common Stock Equity,"694,841","826,090","936,628",
38,Capital Lease Obligations,"927,340","920,087","1,206,434",
39,Net Tangible Assets,"694,841","826,090","936,628",
40,Working Capital,"325,818","492,519","702,230",
41,Invested Capital,"991,693","1,129,664","1,280,538",
42,Tangible Book Value,"694,841","826,090","936,628",
43,Total Debt,"1,224,192","1,223,661","1,550,344",
44,Share Issued,"103,300","103,300","103,300",
45,Ordinary Shares Number,"49,002","52,985","62,399",
46,Treasury Shares Number,"54,298","50,315","40,901",
