,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,0,0,0,0
1,Operating Expense,"28,262","25,511","14,500","5,483"
2,Operating Income,"-28,262","-25,511","-14,500","-5,483"
3,Net Non Operating Interest Income Expense,114.009,182.712,13.335,47.225
4,Other Income Expense,-,-,-,-26.5
5,Pretax Income,"-28,148","-25,329","-14,487","-5,462"
6,Net Income Common Stockholders,"-28,148","-25,329","-14,487","-5,462"
7,Diluted NI Available to Com Stockholders,"-28,148","-25,329","-14,487","-5,462"
8,Basic EPS,-4.84,-3.10,-1.90,-0.87
9,Diluted EPS,-4.84,-3.10,-1.90,-0.87
10,Basic Average Shares,"8,583","8,162","7,626","6,309"
11,Diluted Average Shares,"8,583","8,162","7,626","6,309"
12,Total Operating Income as Reported,"-28,262","-25,511","-14,537","-6,640"
13,Total Expenses,"28,262","25,511","14,500","5,483"
14,Net Income from Continuing & Discontinued Operation,"-28,148","-25,329","-14,487","-5,462"
15,Normalized Income,"-28,148","-25,329","-14,487","-5,436"
16,Interest Income,114.009,182.712,13.335,47.225
17,Net Interest Income,114.009,182.712,13.335,47.225
18,EBIT,"-28,262","-25,511","-14,500","-5,483"
19,EBITDA,"-28,262","-25,511","-14,500","-5,483"
20,Net Income from Continuing Operation Net Minority Interest,"-28,148","-25,329","-14,487","-5,462"
21,Total Unusual Items Excluding Goodwill,-,-,-,-26.5
22,Total Unusual Items,-,-,-,-26.5
23,Normalized EBITDA,"-28,262","-25,511","-14,500","-5,456"
24,Tax Rate for Calcs,0,0,0,0
25,Tax Effect of Unusual Items,0,0,0,0
26,Breakdown,12/31/2022,12/31/2021,12/31/2020,
27,Total Assets,"36,022","46,001","8,119",
28,Total Liabilities Net Minority Interest,"7,699","1,507",578.38,
29,Total Equity Gross Minority Interest,"28,324","44,495","7,541",
30,Total Capitalization,"28,324","44,495","7,541",
31,Common Stock Equity,"28,324","44,495","7,541",
32,Net Tangible Assets,"28,324","44,495","7,541",
33,Working Capital,"28,324","44,495","7,541",
34,Invested Capital,"28,324","44,495","7,541",
35,Tangible Book Value,"28,324","44,495","7,541",
36,Share Issued,"8,164","8,101","6,892",
37,Ordinary Shares Number,"8,164","8,101","6,892",
