,Breakdown,ttm,10/31/2023,10/31/2022,10/31/2021,10/31/2020
0,Total Revenue,"9,108","9,108","-175,339","307,685","-9,748"
1,Operating Expense,"2,154","2,154","1,397","1,426","1,344"
2,Pretax Income,"6,955","6,955","-176,736","306,259","-11,092"
3,Net Income Common Stockholders,"6,955","6,955","-176,736","306,259","-11,092"
4,Diluted NI Available to Com Stockholders,"6,955","6,955","-176,736","306,259","-11,092"
5,Basic EPS,0.63,-,-1.68,2.91,-0.11
6,Diluted EPS,0.63,-,-1.68,2.91,-0.11
7,Basic Average Shares,"105,431",-,"105,200","105,244","100,834"
8,Diluted Average Shares,"105,431",-,"105,200","105,244","100,834"
9,Net Income from Continuing & Discontinued Operation,"6,955","6,955","-176,736","306,259","-11,092"
10,Normalized Income,"6,955","6,955","-176,736","306,259","-11,092"
11,Interest Income,32.335,32.335,18.526,0.239,23.641
12,Interest Expense,12.465,12.465,165.07,195.599,74.031
13,Net Interest Income,19.87,19.87,-146.544,-195.36,-50.39
14,Net Income from Continuing Operation Net Minority Interest,"6,955","6,955","-176,736","306,259","-11,092"
15,Tax Rate for Calcs,0,0,0,0,0
16,Tax Effect of Unusual Items,0,0,0,0,0
17,Breakdown,10/31/2023,10/31/2022,10/31/2021,10/31/2020,
18,Total Assets,"951,325","928,042","1,166,234","939,574",
19,Total Liabilities Net Minority Interest,"51,060","20,003","8,711","15,563",
20,Total Equity Gross Minority Interest,"900,264","908,039","1,157,523","924,011",
21,Total Capitalization,"949,316","920,289","1,161,615",-,
22,Common Stock Equity,"900,264","908,039","1,157,523","924,011",
23,Net Tangible Assets,"900,264","908,039","1,157,523","924,011",
24,Invested Capital,"949,316","920,289","1,161,615",-,
25,Tangible Book Value,"900,264","908,039","1,157,523","924,011",
26,Total Debt,"49,052","12,250","4,092",-,
27,Net Debt,"48,305","12,250","4,092",-,
28,Share Issued,"105,431","105,431","105,431","105,431",
29,Ordinary Shares Number,"105,431","105,431","105,431","105,431",
