,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"13,376,000","13,376,000","12,479,000","12,193,000","11,066,000"
1,Cost of Revenue,"6,902,000","6,902,000","6,477,000","6,738,000","5,905,000"
2,Gross Profit,"6,474,000","6,474,000","6,002,000","5,455,000","5,161,000"
3,Operating Expense,"2,652,000","2,652,000","2,512,000","3,344,000","2,367,000"
4,Operating Income,"3,822,000","3,822,000","3,490,000","2,111,000","2,794,000"
5,Net Non Operating Interest Income Expense,"-453,000","-453,000","-388,000","-311,000","-328,000"
6,Other Income Expense,"-200,000","-200,000","54,000","131,000","-1,000"
7,Pretax Income,"3,169,000","3,169,000","3,156,000","1,931,000","2,466,000"
8,Tax Provision,"541,000","541,000","510,000","623,000","448,000"
9,Net Income Common Stockholders,"2,564,000","2,564,000","2,589,000","1,255,000","1,969,000"
10,Diluted NI Available to Com Stockholders,"2,564,000","2,564,000","2,589,000","1,255,000","1,969,000"
11,Basic EPS,13.27,12.60,12.23,5.59,8.49
12,Diluted EPS,13.17,12.51,12.14,5.55,8.45
13,Basic Average Shares,"205,250","203,500","211,700","224,700","231,900"
14,Diluted Average Shares,"206,750","205,000","213,200","226,100","233,100"
15,Total Operating Income as Reported,"3,785,000","3,785,000","3,669,000","2,090,000","2,781,000"
16,Rent Expense Supplemental,"294,000","294,000","289,000","327,000","291,000"
17,Total Expenses,"9,554,000","9,554,000","8,989,000","10,082,000","8,272,000"
18,Net Income from Continuing & Discontinued Operation,"2,564,000","2,564,000","2,589,000","1,255,000","1,969,000"
19,Normalized Income,"2,733,945","2,733,945","2,552,128","1,171,684","1,972,272"
20,Interest Income,"31,000","31,000","18,000","11,000","6,000"
21,Interest Expense,"484,000","484,000","406,000","322,000","334,000"
22,Net Interest Income,"-453,000","-453,000","-388,000","-311,000","-328,000"
23,EBIT,"3,653,000","3,653,000","3,562,000","2,253,000","2,800,000"
24,EBITDA,"3,909,000","3,909,000","3,826,000","2,579,000","3,213,000"
25,Reconciled Cost of Revenue,"6,902,000","6,902,000","6,477,000","6,738,000","5,905,000"
26,Reconciled Depreciation,"256,000","256,000","264,000","326,000","413,000"
27,Net Income from Continuing Operation Net Minority Interest,"2,564,000","2,564,000","2,589,000","1,255,000","1,969,000"
28,Total Unusual Items Excluding Goodwill,"-205,000","-205,000","44,000","123,000","-4,000"
29,Total Unusual Items,"-205,000","-205,000","44,000","123,000","-4,000"
30,Normalized EBITDA,"4,114,000","4,114,000","3,782,000","2,456,000","3,217,000"
31,Tax Rate for Calcs,0,0,0,0,0
32,Tax Effect of Unusual Items,"-35,055","-35,055","7,128","39,684",-728
33,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
34,Total Assets,"33,959,000","32,704,000","31,917,000","32,114,000",
35,Total Liabilities Net Minority Interest,"34,701,000","33,133,000","30,759,000","28,531,000",
36,Total Equity Gross Minority Interest,"-742,000","-429,000","1,158,000","3,583,000",
37,Total Capitalization,"9,169,000","9,296,000","9,289,000","10,776,000",
38,Common Stock Equity,"-826,000","-529,000","1,061,000","3,495,000",
39,Capital Lease Obligations,"833,000","907,000","1,031,000","1,196,000",
40,Net Tangible Assets,"-9,474,000","-9,268,000","-7,865,000","-5,811,000",
41,Working Capital,"53,000","417,000","-41,000","1,251,000",
42,Invested Capital,"10,373,000","10,241,000","10,453,000","11,224,000",
43,Tangible Book Value,"-9,474,000","-9,268,000","-7,865,000","-5,811,000",
44,Total Debt,"12,032,000","11,677,000","10,423,000","8,925,000",
45,Net Debt,"10,421,000","10,080,000","8,848,000","6,845,000",
46,Share Issued,"198,600","205,400","214,800","225,500",
47,Ordinary Shares Number,"198,600","205,400","214,800","225,500",
