,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"3,852,800","3,852,800","3,753,900","3,538,900","2,895,300"
1,Cost of Revenue,"2,368,000","2,368,000","2,424,300","2,228,000","1,787,100"
2,Gross Profit,"1,484,800","1,484,800","1,329,600","1,310,900","1,108,200"
3,Operating Expense,"727,400","727,400","670,900","701,400","660,300"
4,Operating Income,"757,400","757,400","658,700","609,500","447,900"
5,Net Non Operating Interest Income Expense,"-12,000","-12,000","-9,400","-4,300","-7,300"
6,Other Income Expense,"-11,900","-11,900","-425,600","20,400","3,300"
7,Pretax Income,"733,500","733,500","223,700","625,600","443,900"
8,Tax Provision,"176,900","176,900","-12,000","138,500","99,000"
9,Net Income Common Stockholders,"556,600","556,600","235,700","487,100","344,900"
10,Diluted NI Available to Com Stockholders,"556,600","556,600","235,700","487,100","344,900"
11,Basic EPS,2.02,-,1.52,3.05,2.13
12,Diluted EPS,2.01,-,1.51,3.02,2.12
13,Basic Average Shares,"150,934",-,"154,786","159,907","161,531"
14,Diluted Average Shares,"151,943",-,"155,779","161,320","162,604"
15,Total Expenses,"3,095,400","3,095,400","3,095,200","2,929,400","2,447,400"
16,Net Income from Continuing & Discontinued Operation,"556,600","556,600","235,700","487,100","344,900"
17,Normalized Income,"570,869","570,869","235,700","487,100","350,883"
18,Interest Expense,"12,000","12,000","9,400","4,300","7,300"
19,Net Interest Income,"-12,000","-12,000","-9,400","-4,300","-7,300"
20,EBIT,"745,500","745,500","233,100","629,900","451,200"
21,EBITDA,"823,800","823,800","310,000","707,800","531,200"
22,Reconciled Cost of Revenue,"2,368,000","2,368,000","2,424,300","2,228,000","1,787,100"
23,Reconciled Depreciation,"78,300","78,300","76,900","77,900","80,000"
24,Net Income from Continuing Operation Net Minority Interest,"556,600","556,600","235,700","487,100","344,900"
25,Total Unusual Items Excluding Goodwill,"-18,800","-18,800",0,0,"-7,700"
26,Total Unusual Items,"-18,800","-18,800",0,0,"-7,700"
27,Normalized EBITDA,"842,600","842,600","310,000","707,800","538,900"
28,Tax Rate for Calcs,0,0,0,0,0
29,Tax Effect of Unusual Items,"-4,531","-4,531",0,0,"-1,717"
30,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
31,Total Assets,"3,213,900","3,332,300","3,474,400","3,160,700",
32,Total Liabilities Net Minority Interest,"1,369,500","1,584,600","1,642,200","1,312,400",
33,Total Equity Gross Minority Interest,"1,844,400","1,747,700","1,832,200","1,848,300",
34,Total Capitalization,"1,961,700","2,082,200","2,022,100","1,954,700",
35,Common Stock Equity,"1,844,400","1,747,700","1,832,200","1,848,300",
36,Capital Lease Obligations,"27,900","22,400","22,300","34,400",
37,Net Tangible Assets,"874,300","780,100","839,600","977,600",
38,Working Capital,"555,000","699,500","633,800","731,700",
39,Invested Capital,"1,971,700","2,092,200","2,028,900","1,961,500",
40,Tangible Book Value,"874,300","780,100","839,600","977,600",
41,Total Debt,"155,200","366,900","219,000","147,600",
42,Share Issued,"190,577","190,577","190,577","190,577",
43,Ordinary Shares Number,"147,527","151,179","157,653","161,770",
44,Treasury Shares Number,"43,180","39,529","33,055","28,938",
