,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"407,766","390,189","344,920","328,544"
1,Cost of Revenue,"334,629","327,996","278,805","257,513"
2,Gross Profit,"73,137","62,193","66,115","71,031"
3,Operating Expense,"67,072","60,935","63,875","64,117"
4,Operating Income,"6,065","1,258","2,240","6,914"
5,Net Non Operating Interest Income Expense,"-8,534","-5,434","-3,599","-4,114"
6,Other Income Expense,"6,100","9,732",364,"5,900"
7,Pretax Income,"3,631","5,556",-995,"8,700"
8,Tax Provision,685,"1,576","2,305",-470
9,Net Income Common Stockholders,"1,445","3,416","-3,861","7,970"
10,Diluted NI Available to Com Stockholders,"1,445","3,416","-3,861","7,970"
11,Basic EPS,0.08,0.18,-0.20,0.56
12,Diluted EPS,0.08,0.18,-0.20,0.54
13,Basic Average Shares,"19,536","19,319","18,953","14,272"
14,Diluted Average Shares,"19,564","19,444","18,953","14,636"
15,Total Operating Income as Reported,"7,947","2,778","-4,782","6,446"
16,Total Expenses,"401,701","388,931","342,680","321,630"
17,Net Income from Continuing & Discontinued Operation,"1,445","3,416","-3,861","7,970"
18,Normalized Income,756.1666,"1,132",819.03,"7,293"
19,Interest Expense,"8,534","5,434","3,599","4,114"
20,Net Interest Income,"-8,534","-5,434","-3,599","-4,114"
21,EBIT,"12,165","10,990","2,604","12,814"
22,EBITDA,"29,550","28,398","20,481","31,389"
23,Reconciled Cost of Revenue,"334,629","327,996","278,805","257,513"
24,Reconciled Depreciation,"17,385","17,408","17,877","18,575"
25,Net Income from Continuing Operation Net Minority Interest,"1,445","3,416","-3,861","7,970"
26,Total Unusual Items Excluding Goodwill,849,"3,188","-6,411",928
27,Total Unusual Items,849,"3,188","-6,411",928
28,Normalized EBITDA,"28,701","25,210","26,892","30,461"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,160.1666,904.2995,"-1,731",250.56
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"502,774","505,960","463,208",
33,Total Liabilities Net Minority Interest,"389,378","393,826","378,209",
34,Total Equity Gross Minority Interest,"113,396","112,134","84,999",
35,Total Capitalization,"197,387","143,813","101,371",
36,Common Stock Equity,"104,326","102,901","76,564",
37,Capital Lease Obligations,"3,521","4,056","4,344",
38,Net Tangible Assets,"99,132","96,697","69,347",
39,Working Capital,"115,183","83,774","66,500",
40,Invested Capital,"209,797","163,820","113,807",
41,Tangible Book Value,"99,132","96,697","69,347",
42,Total Debt,"108,992","64,975","41,587",
43,Net Debt,"96,736","50,582","20,401",
44,Share Issued,"19,404","19,184","18,312",
45,Ordinary Shares Number,"19,404","19,184","18,312",
