,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"975,131","975,131","993,285","1,227,236","899,567"
1,Cost of Revenue,"529,395","529,395","510,382","563,054","435,818"
2,Gross Profit,"445,736","445,736","482,903","664,182","463,749"
3,Operating Expense,"142,144","142,144","138,806","123,691","105,425"
4,Operating Income,"303,592","303,592","344,097","540,491","358,324"
5,Net Non Operating Interest Income Expense,"-2,270","-2,270","-9,579","-10,244","-10,804"
6,Other Income Expense,"82,370","82,370","-22,683","21,303","21,778"
7,Pretax Income,"383,692","383,692","311,835","551,550","369,298"
8,Tax Provision,"71,888","71,888","63,450","107,026","60,795"
9,Net Income Common Stockholders,"202,409","202,409","183,954","305,086","189,349"
10,Diluted NI Available to Com Stockholders,"202,409","202,409","183,954","305,086","189,349"
11,Basic EPS,3.04,3.19,2.94,5.10,3.40
12,Diluted EPS,3.04,3.19,2.94,5.09,3.40
13,Basic Average Shares,"63,293","63,452","62,476","59,867","55,634"
14,Diluted Average Shares,"63,321","63,486","62,499","59,881","55,638"
15,Total Operating Income as Reported,"303,592","303,592","344,097","540,491","358,324"
16,Rent Expense Supplemental,"28,931","28,931","28,833","21,942","21,922"
17,Total Expenses,"671,539","671,539","649,188","686,745","541,243"
18,Net Income from Continuing & Discontinued Operation,"222,289","222,289","206,755","336,516","212,617"
19,Normalized Income,"155,733","155,733","225,561","319,634","190,530"
20,Interest Income,"6,301","6,301",333,559,-
21,Interest Expense,"8,571","8,571","9,912","10,803","10,804"
22,Net Interest Income,"-2,270","-2,270","-9,579","-10,244","-10,804"
23,EBIT,"392,263","392,263","321,747","562,353","380,102"
24,EBITDA,"401,611","401,611","329,544","569,286","386,727"
25,Reconciled Cost of Revenue,"529,395","529,395","510,382","563,054","435,818"
26,Reconciled Depreciation,"9,348","9,348","7,797","6,933","6,625"
27,Net Income from Continuing Operation Net Minority Interest,"222,289","222,289","206,755","336,516","212,617"
28,Total Unusual Items Excluding Goodwill,"81,865","81,865","-23,596","20,945","26,452"
29,Total Unusual Items,"81,865","81,865","-23,596","20,945","26,452"
30,Normalized EBITDA,"319,746","319,746","353,140","548,341","360,275"
31,Tax Rate for Calcs,0,0,0,0,0
32,Tax Effect of Unusual Items,"15,309","15,309","-4,790","4,063","4,365"
33,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
34,Total Assets,"1,405,858","1,234,608","1,208,047","1,151,962",
35,Total Liabilities Net Minority Interest,"802,101","819,971","801,051","867,167",
36,Total Equity Gross Minority Interest,"603,757","414,637","406,996","284,795",
37,Total Capitalization,"523,418","461,271","475,648","379,761",
38,Common Stock Equity,"324,151","262,221","276,204","180,477",
39,Capital Lease Obligations,"113,391","120,847","100,303","92,671",
40,Net Tangible Assets,"324,151","262,221","276,204","180,477",
41,Working Capital,"-119,867","-186,979","-139,032","-232,812",
42,Invested Capital,"523,418","461,271","475,648","379,761",
43,Tangible Book Value,"324,151","262,221","276,204","180,477",
44,Total Debt,"312,658","319,897","299,747","291,955",
45,Net Debt,"20,800","55,802",-,463,
46,Share Issued,"68,554","67,982","66,700","63,131",
47,Ordinary Shares Number,"68,554","67,982","66,700","63,131",
48,Treasury Shares Number,0,-,-,-,
