,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"6,928,000","6,928,000","6,558,000","3,940,000","3,587,000"
1,Cost of Revenue,"4,988,000","4,988,000","4,844,000","3,001,000","2,831,000"
2,Gross Profit,"1,940,000","1,940,000","1,714,000","939,000","756,000"
3,Operating Expense,"1,569,000","1,569,000","1,510,000","803,000","725,000"
4,Operating Income,"371,000","371,000","204,000","136,000","31,000"
5,Net Non Operating Interest Income Expense,"-145,000","-145,000","-125,000","-60,000","-52,000"
6,Other Income Expense,"6,000","6,000","14,000","3,000","-163,000"
7,Pretax Income,"232,000","232,000","93,000","79,000","-184,000"
8,Tax Provision,"79,000","79,000","20,000","32,000","-31,000"
9,Net Income Common Stockholders,"-161,000","-161,000","29,000","-137,000","-375,000"
10,Diluted NI Available to Com Stockholders,"-161,000","-161,000","29,000","-137,000","-375,000"
11,Basic EPS,-2.69,-0.68,0.10,-0.67,-2.21
12,Diluted EPS,-2.69,-0.68,0.10,-0.67,-2.21
13,Basic Average Shares,"169,000","235,000","233,000","206,000","169,000"
14,Diluted Average Shares,"169,000","235,000","266,000","206,000","169,000"
15,Total Operating Income as Reported,"359,000","359,000","162,000","136,000","-166,000"
16,Total Expenses,"6,557,000","6,557,000","6,354,000","3,804,000","3,556,000"
17,Net Income from Continuing & Discontinued Operation,"153,000","153,000","73,000","47,000","-153,000"
18,Normalized Income,"149,043","149,034","62,080","45,200","-18,362"
19,Interest Expense,"145,000","145,000","125,000","60,000","52,000"
20,Net Interest Income,"-145,000","-145,000","-125,000","-60,000","-52,000"
21,EBIT,"377,000","377,000","218,000","139,000","-132,000"
22,EBITDA,"680,000","680,000","522,000","341,000","131,000"
23,Reconciled Cost of Revenue,"4,988,000","4,988,000","4,844,000","3,001,000","2,831,000"
24,Reconciled Depreciation,"303,000","303,000","304,000","202,000","263,000"
25,Net Income from Continuing Operation Net Minority Interest,"153,000","153,000","73,000","47,000","-153,000"
26,Total Unusual Items Excluding Goodwill,"6,000","6,000","14,000","3,000","-163,000"
27,Total Unusual Items,"6,000","6,000","14,000","3,000","-163,000"
28,Normalized EBITDA,"674,000","674,000","508,000","338,000","294,000"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,"2,043","2,034","3,080","1,200","-28,362"
31,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"7,590,000","8,091,000","5,159,000","4,065,000",
33,Total Liabilities Net Minority Interest,"5,519,000","5,964,000","2,836,000","2,507,000",
34,Total Equity Gross Minority Interest,"2,071,000","2,127,000","2,323,000","1,558,000",
35,Total Capitalization,"4,393,000","4,710,000","4,089,000","2,955,000",
36,Preferred Stock Equity,-,"797,000",-,-,
37,Common Stock Equity,"2,071,000","2,127,000","2,323,000","1,558,000",
38,Capital Lease Obligations,"247,000","239,000","106,000","127,000",
39,Net Tangible Assets,"-2,020,000","-2,039,000","335,000","-489,000",
40,Working Capital,"775,000","731,000","1,759,000","596,000",
41,Invested Capital,"4,398,000","4,916,000","4,090,000","2,973,000",
42,Tangible Book Value,"-2,020,000","-2,039,000","335,000","-489,000",
43,Total Debt,"2,574,000","3,028,000","1,873,000","1,542,000",
44,Net Debt,"1,848,000","2,184,000","579,000","900,000",
45,Share Issued,"235,575","233,404","225,000","168,000",
46,Ordinary Shares Number,"235,575","233,404","225,000","168,000",
47,Preferred Shares Number,"4,000","4,000","4,000","4,000",
