,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"62,951","61,981","68,637","102,700"
1,Cost of Revenue,"41,134","40,298","43,339","52,218"
2,Gross Profit,"21,817","21,683","25,298","50,482"
3,Operating Expense,"17,081","17,033","17,371","18,900"
4,Operating Income,"4,736","4,650","7,927","31,582"
5,Net Non Operating Interest Income Expense,39,148,2,18
6,Other Income Expense,-455,-403,571,648
7,Pretax Income,"4,320","4,395","8,500","32,248"
8,Tax Provision,"1,002","1,113","1,744","5,360"
9,Net Income Common Stockholders,"3,318","3,282","6,756","26,888"
10,Diluted NI Available to Com Stockholders,"3,318","3,282","6,756","26,888"
11,Basic EPS,0.31,0.26,0.51,2.01
12,Diluted EPS,0.31,0.26,0.50,1.94
13,Basic Average Shares,"12,068","12,714","13,226","13,450"
14,Diluted Average Shares,"12,079","12,781","13,499","13,972"
15,Total Operating Income as Reported,"4,736","4,650","7,927","31,582"
16,Total Expenses,"58,215","57,331","60,710","71,118"
17,Net Income from Continuing & Discontinued Operation,"3,318","3,282","6,756","26,888"
18,Normalized Income,"3,694","3,648","6,756","26,940"
19,Interest Income,39,148,2,18
20,Net Interest Income,39,148,2,18
21,EBIT,"4,736","4,650","7,927","31,582"
22,EBITDA,"5,583","5,464","8,744","32,311"
23,Reconciled Cost of Revenue,"41,134","40,298","43,339","52,218"
24,Reconciled Depreciation,847,814,817,729
25,Net Income from Continuing Operation Net Minority Interest,"3,318","3,282","6,756","26,888"
26,Total Unusual Items Excluding Goodwill,-490,-490,0,-62
27,Total Unusual Items,-490,-490,0,-62
28,Normalized EBITDA,"6,073","5,954","8,744","32,373"
29,Tax Rate for Calcs,0,0,0,0
30,Tax Effect of Unusual Items,-113.6528,-123.97,0,-10.3051
31,Breakdown,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"64,803","67,020","68,664",
33,Total Liabilities Net Minority Interest,"4,045","5,269","9,134",
34,Total Equity Gross Minority Interest,"60,758","61,751","59,530",
35,Total Capitalization,"60,758","61,751","59,530",
36,Common Stock Equity,"60,758","61,751","59,530",
37,Capital Lease Obligations,"1,774","2,700","3,586",
38,Net Tangible Assets,"60,702","61,693","59,468",
39,Working Capital,"50,156","50,338","49,313",
40,Invested Capital,"60,758","61,751","59,530",
41,Tangible Book Value,"60,702","61,693","59,468",
42,Total Debt,"1,774","2,700","3,586",
43,Share Issued,"12,226","13,115","13,420",
44,Ordinary Shares Number,"12,226","13,115","13,420",
