,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"20,051,000","20,051,000","17,489,000","15,618,000","13,066,000"
1,Cost of Revenue,"16,612,000","16,612,000","14,854,000","13,182,000","11,126,000"
2,Gross Profit,"3,439,000","3,439,000","2,635,000","2,436,000","1,940,000"
3,Operating Expense,"1,669,000","1,669,000","1,287,000","1,223,000","1,120,000"
4,Operating Income,"1,770,000","1,770,000","1,348,000","1,213,000","820,000"
5,Net Non Operating Interest Income Expense,"-174,000","-174,000","-133,000","-141,000","-156,000"
6,Other Income Expense,"-259,000","-259,000","-225,000","-162,000","1,290,000"
7,Pretax Income,"1,337,000","1,337,000","990,000","910,000","1,954,000"
8,Tax Provision,"-1,928,000","-1,928,000","121,000","101,000","49,000"
9,Earnings from Equity Interest Net of Tax,"-299,000","-299,000","-279,000","-200,000","-83,000"
10,Net Income Common Stockholders,"2,909,000","2,909,000","531,000","527,000","1,769,000"
11,Average Dilution Earnings,-,-,-,-,"35,000"
12,Diluted NI Available to Com Stockholders,"2,909,000","2,909,000","531,000","527,000","1,804,000"
13,Basic EPS,8.13,10.50,1.96,1.95,6.72
14,Diluted EPS,8.03,10.39,1.96,1.94,6.66
15,Basic Average Shares,"274,410","276,920","270,900","270,460","263,430"
16,Diluted Average Shares,"280,435","282,880","271,180","271,220","270,700"
17,Total Operating Income as Reported,"1,559,000","1,559,000","1,263,000","1,189,000","2,118,000"
18,Total Expenses,"18,281,000","18,281,000","16,141,000","14,405,000","12,246,000"
19,Net Income from Continuing & Discontinued Operation,"2,938,000","2,938,000","594,000","590,000","1,804,000"
20,Normalized Income,"3,127,600","3,127,600","768,240","716,240","1,939,800"
21,Interest Income,"111,000","111,000","86,000","9,000","8,000"
22,Interest Expense,"285,000","285,000","219,000","150,000","164,000"
23,Net Interest Income,"-174,000","-174,000","-133,000","-141,000","-156,000"
24,EBIT,"1,622,000","1,622,000","1,209,000","1,060,000","2,118,000"
25,EBITDA,"2,534,000","2,534,000","1,971,000","1,833,000","2,882,000"
26,Reconciled Cost of Revenue,"15,933,000","15,933,000","14,241,000","12,557,000","10,506,000"
27,Reconciled Depreciation,"912,000","912,000","762,000","773,000","764,000"
28,Net Income from Continuing Operation Net Minority Interest,"2,938,000","2,938,000","594,000","590,000","1,804,000"
29,Total Unusual Items Excluding Goodwill,"-240,000","-240,000","-198,000","-142,000","-140,000"
30,Total Unusual Items,"-240,000","-240,000","-198,000","-142,000","-140,000"
31,Normalized EBITDA,"2,774,000","2,774,000","2,169,000","1,975,000","3,022,000"
32,Tax Rate for Calcs,0,0,0,0,0
33,Tax Effect of Unusual Items,"-50,400","-50,400","-23,760","-15,760","-4,200"
34,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
35,Total Assets,"24,427,000","21,884,000","18,007,000","17,522,000",
36,Total Liabilities Net Minority Interest,"12,583,000","12,790,000","9,446,000","9,422,000",
37,Total Equity Gross Minority Interest,"11,844,000","9,094,000","8,561,000","8,100,000",
38,Total Capitalization,"17,743,000","15,257,000","12,406,000","11,916,000",
39,Common Stock Equity,"11,548,000","8,809,000","8,347,000","7,905,000",
40,Capital Lease Obligations,"588,000","488,000","396,000","400,000",
41,Net Tangible Assets,"3,998,000","1,118,000","4,872,000","4,234,000",
42,Working Capital,"3,439,000","2,919,000","4,229,000","3,419,000",
43,Invested Capital,"17,747,000","15,282,000","12,414,000","12,006,000",
44,Tangible Book Value,"3,998,000","1,118,000","4,872,000","4,234,000",
45,Total Debt,"6,787,000","6,961,000","4,463,000","4,501,000",
46,Net Debt,"4,559,000","4,942,000","928,000","1,280,000",
47,Share Issued,"279,033","270,950","270,514","270,025",
48,Ordinary Shares Number,"279,033","270,950","270,514","270,025",
49,Preferred Shares Number,"11,500","11,500","11,500","11,500",
