,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"281,201","281,201","286,010","272,208","289,467"
1,Cost of Revenue,"186,800","186,800","190,013","184,558","196,558"
2,Gross Profit,"94,401","94,401","95,997","87,650","92,909"
3,Operating Expense,"76,374","76,374","77,641","72,521","80,516"
4,Operating Income,"18,027","18,027","18,356","15,129","12,393"
5,Net Non Operating Interest Income Expense,"-1,633","-1,633","-1,796","-2,147","-3,908"
6,Other Income Expense,"-3,933","-3,933",62,41,57
7,Pretax Income,"12,461","12,461","16,622","13,023","8,542"
8,Tax Provision,"4,387","4,387","5,832","4,181","2,749"
9,Net Income Common Stockholders,"8,235","8,235","11,094","9,143","6,188"
10,Diluted NI Available to Com Stockholders,"8,235","8,235","11,094","9,143","6,188"
11,Basic EPS,0.14,-,0.26,0.22,0.14
12,Diluted EPS,0.14,-,0.26,0.21,0.14
13,Basic Average Shares,"42,925",-,"42,214","42,164","42,925"
14,Diluted Average Shares,"43,021",-,"43,280","42,732","43,021"
15,Total Operating Income as Reported,"14,027","14,027","18,356","15,129","12,393"
16,Total Expenses,"263,174","263,174","267,654","257,079","277,074"
17,Net Income from Continuing & Discontinued Operation,"8,235","8,235","11,094","9,143","6,188"
18,Normalized Income,"10,835","10,835","11,094","9,143","6,188"
19,Interest Expense,"1,633","1,633","1,796","2,147","3,908"
20,Net Interest Income,"-1,633","-1,633","-1,796","-2,147","-3,908"
21,EBIT,"14,094","14,094","18,418","15,170","12,450"
22,EBITDA,"31,727","31,727","38,843","39,726","42,810"
23,Reconciled Cost of Revenue,"169,208","169,208","169,685","160,201","167,698"
24,Reconciled Depreciation,"17,633","17,633","20,425","24,556","30,360"
25,Net Income from Continuing Operation Net Minority Interest,"8,235","8,235","11,094","9,143","6,188"
26,Total Unusual Items Excluding Goodwill,"-4,000","-4,000",0,-,0
27,Total Unusual Items,"-4,000","-4,000",0,-,0
28,Normalized EBITDA,"35,727","35,727","38,843","39,726","42,810"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,"-1,400","-1,400",0,0,0
31,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"310,124","307,315","323,999","345,438",
33,Total Liabilities Net Minority Interest,"154,399","151,025","165,007","191,102",
34,Total Equity Gross Minority Interest,"155,725","156,290","158,992","154,336",
35,Total Capitalization,"207,432","209,271","216,853","227,347",
36,Common Stock Equity,"154,066","154,355","152,427","147,668",
37,Capital Lease Obligations,"46,151","44,821","49,052","63,276",
38,Net Tangible Assets,"32,853","33,096","31,051","26,102",
39,Working Capital,"37,495","34,906","37,082","32,500",
40,Invested Capital,"207,432","209,271","216,853","227,347",
41,Tangible Book Value,"32,853","33,096","31,051","26,102",
42,Total Debt,"99,517","99,737","113,478","142,955",
43,Net Debt,-,"2,355","8,497","24,729",
44,Share Issued,"52,526","51,400","50,584","49,422",
45,Ordinary Shares Number,"42,783","43,101","43,108","42,792",
46,Treasury Shares Number,"9,743","8,299","7,476","6,630",
