,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"3,145,843","3,145,843","3,724,593","2,208,042","1,467,592"
1,Cost of Revenue,"2,488,374","2,488,374","2,472,163","1,700,163","1,500,031"
2,Gross Profit,"657,469","657,469","1,252,430","507,879","-32,439"
3,Operating Expense,"109,443","109,443","141,745","118,916","80,038"
4,Operating Income,"548,026","548,026","1,110,685","388,963","-112,477"
5,Net Non Operating Interest Income Expense,"2,438","2,438","-13,162","-23,344","-10,624"
6,Other Income Expense,"1,088","1,088","-18,535","-26,172","-221,521"
7,Pretax Income,"551,552","551,552","1,078,988","339,447","-344,622"
8,Tax Provision,"87,514","87,514","-251,926","1,874",-7
9,Net Income Common Stockholders,"464,038","464,038","1,330,914","337,573","-344,615"
10,Diluted NI Available to Com Stockholders,"464,038","464,038","1,330,914","337,573","-344,615"
11,Basic EPS,45.90,25.45,77.67,22.04,-22.74
12,Diluted EPS,41.00,24.20,63.88,19.20,-22.74
13,Basic Average Shares,"18,117","18,233","17,136","15,318","15,153"
14,Diluted Average Shares,"19,530","19,183","20,985","17,579","15,153"
15,Total Operating Income as Reported,"546,454","546,454","1,109,411","367,130","-330,140"
16,Total Expenses,"2,597,817","2,597,817","2,613,908","1,819,079","1,580,069"
17,Net Income from Continuing & Discontinued Operation,"464,038","464,038","1,330,914","337,573","-344,615"
18,Normalized Income,"466,308","466,308","1,343,312","359,285","-143,069"
19,Interest Income,"17,259","17,259","7,299",628,"3,808"
20,Interest Expense,"14,821","14,821","20,461","23,972","14,432"
21,Net Interest Income,"2,438","2,438","-13,162","-23,344","-10,624"
22,EBIT,"566,373","566,373","1,099,449","363,419","-330,190"
23,EBITDA,"712,791","712,791","1,232,749","483,746","-208,638"
24,Reconciled Cost of Revenue,"2,488,374","2,488,374","2,472,163","1,700,163","1,500,031"
25,Reconciled Depreciation,"146,418","146,418","133,300","120,327","121,552"
26,Net Income from Continuing Operation Net Minority Interest,"464,038","464,038","1,330,914","337,573","-344,615"
27,Total Unusual Items Excluding Goodwill,"-2,698","-2,698","-15,694","-21,833","-201,550"
28,Total Unusual Items,"-2,698","-2,698","-15,694","-21,833","-201,550"
29,Normalized EBITDA,"715,489","715,489","1,248,443","505,579","-7,088"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,-428.088,-428.088,"-3,296",-120.5344,-4.0939
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"2,484,173","2,433,108","2,117,160","1,722,472",
34,Total Liabilities Net Minority Interest,"1,004,717","1,067,528","1,433,294","1,438,911",
35,Total Equity Gross Minority Interest,"1,479,456","1,365,580","683,866","283,561",
36,Total Capitalization,"1,584,708","1,481,868","1,021,489","760,776",
37,Common Stock Equity,"1,479,456","1,365,580","683,866","283,561",
38,Net Tangible Assets,"1,479,456","1,365,580","683,866","283,561",
39,Working Capital,"549,806","396,972","360,531","298,044",
40,Invested Capital,"1,620,051","1,539,856","1,244,539","791,873",
41,Tangible Book Value,"1,479,456","1,365,580","683,866","283,561",
42,Total Debt,"140,595","174,276","560,673","508,312",
43,Net Debt,-,-,"235,479","320,820",
44,Share Issued,"30,557","28,761","25,481","25,323",
45,Ordinary Shares Number,"18,360","17,554","15,393","15,235",
46,Treasury Shares Number,"12,197","11,207","10,088","10,088",
