,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"3,380,572","3,618,902","2,659,941","1,984,219"
1,Cost of Revenue,"2,910,494","3,126,297","2,335,882","1,868,784"
2,Gross Profit,"470,078","492,605","324,059","115,435"
3,Operating Expense,"209,404","228,183","184,540","182,189"
4,Operating Income,"260,674","264,422","139,519","-66,754"
5,Net Non Operating Interest Income Expense,"-45,615","-43,750","-49,546","-33,392"
6,Other Income Expense,"5,429","5,724","-12,187","-31,708"
7,Pretax Income,"220,488","226,396","77,786","-131,854"
8,Tax Provision,"88,595","85,476","31,933","17,532"
9,Net Income Common Stockholders,"131,412","140,343","45,486","-149,451"
10,Diluted NI Available to Com Stockholders,"131,412","140,343","45,486","-149,451"
11,Basic EPS,0.86,0.67,0.22,-0.72
12,Diluted EPS,0.86,0.67,0.22,-0.72
13,Basic Average Shares,"210,618","210,552","210,387","208,378"
14,Diluted Average Shares,"210,618","210,627","210,542","208,666"
15,Total Operating Income as Reported,"260,674","264,422","139,519","-66,754"
16,Rent Expense Supplemental,"978,375","1,035,718","822,796","667,666"
17,Total Expenses,"3,119,898","3,354,480","2,520,422","2,050,973"
18,Net Income from Continuing & Discontinued Operation,"131,412","140,343","45,486","-149,451"
19,Normalized Income,"128,105","136,604","54,972","-127,008"
20,Interest Expense,"45,615","43,750","49,546","33,392"
21,Net Interest Income,"-45,615","-43,750","-49,546","-33,392"
22,EBIT,"266,103","270,146","127,332","-98,462"
23,EBITDA,"384,237","389,923","247,726","28,391"
24,Reconciled Cost of Revenue,"2,910,494","3,126,297","2,335,882","1,868,784"
25,Reconciled Depreciation,"118,134","119,777","120,394","126,853"
26,Net Income from Continuing Operation Net Minority Interest,"131,412","140,343","45,486","-149,451"
27,Total Unusual Items Excluding Goodwill,"5,512","6,011","-14,372","-34,004"
28,Total Unusual Items,"5,512","6,011","-14,372","-34,004"
29,Normalized EBITDA,"378,725","383,912","262,098","62,395"
30,Tax Rate for Calcs,0,0,0,0
31,Tax Effect of Unusual Items,"2,205","2,272","-4,886","-11,561"
32,Breakdown,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"2,636,630","2,361,257","2,293,954",
34,Total Liabilities Net Minority Interest,"2,312,203","2,140,095","2,095,938",
35,Total Equity Gross Minority Interest,"324,427","221,162","198,016",
36,Total Capitalization,"1,035,294","959,647","970,991",
37,Common Stock Equity,"323,623","220,430","197,546",
38,Capital Lease Obligations,"830,585","786,239","809,441",
39,Net Tangible Assets,"269,054","181,622","160,500",
40,Working Capital,"-75,049","-77,747","-87,940",
41,Invested Capital,"1,054,645","964,388","974,120",
42,Tangible Book Value,"269,054","181,622","160,500",
43,Total Debt,"1,561,607","1,530,197","1,586,015",
44,Net Debt,"464,085","465,128","610,585",
45,Share Issued,"210,595","212,787","210,227",
46,Ordinary Shares Number,"210,595","210,478","210,227",
47,Treasury Shares Number,-,"2,309",-,
