,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"32,956","-43,423","39,768","9,897"
1,Operating Expense,"2,914","2,682","2,633","2,519"
2,Pretax Income,"30,042","-46,105","37,135","7,378"
3,Net Income Common Stockholders,"30,042","-46,105","37,135","7,378"
4,Diluted NI Available to Com Stockholders,"30,042","-46,105","37,135","7,378"
5,Basic EPS,1.31,-2.01,1.62,0.33
6,Diluted EPS,1.31,-2.01,1.62,0.33
7,Basic Average Shares,"22,909","22,938","22,923","22,357"
8,Diluted Average Shares,"22,915","22,938","22,923","22,357"
9,Net Income from Continuing & Discontinued Operation,"30,042","-46,105","37,135","7,378"
10,Normalized Income,"30,042","-46,105","37,135","7,378"
11,Interest Income,"45,862","43,908","39,548","36,864"
12,Interest Expense,"7,194","5,697","2,797","2,328"
13,Net Interest Income,"38,668","38,211","36,751","34,536"
14,Net Income from Continuing Operation Net Minority Interest,"30,042","-46,105","37,135","7,378"
15,Tax Rate for Calcs,0,0,0,0
16,Tax Effect of Unusual Items,0,0,0,0
17,Breakdown,12/31/2022,12/31/2021,12/31/2020,
18,Total Assets,"498,683","632,514","556,123",
19,Total Liabilities Net Minority Interest,"191,870","252,213","186,146",
20,Total Equity Gross Minority Interest,"306,813","380,301","369,976",
21,Total Capitalization,"375,577","499,175","532,570",
22,Common Stock Equity,"306,813","380,301","369,976",
23,Net Tangible Assets,"306,813","380,301","369,976",
24,Invested Capital,"375,577","499,175","532,570",
25,Tangible Book Value,"306,813","380,301","369,976",
26,Total Debt,"68,764","118,874","162,594",
27,Net Debt,"61,562","112,578","153,786",
28,Share Issued,"22,915","22,915","22,915",
29,Ordinary Shares Number,"22,915","22,915","22,915",
