,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"4,986,978","4,986,978","3,729,489","4,756,179","2,129,897"
1,Cost of Revenue,"1,486,698","1,486,698","1,498,590","1,162,633","767,252"
2,Gross Profit,"3,500,280","3,500,280","2,230,899","3,593,546","1,362,645"
3,Operating Expense,"1,311,160","1,311,160","1,250,495","2,247,450","683,234"
4,Operating Income,"2,189,120","2,189,120","980,404","1,346,096","679,411"
5,Net Non Operating Interest Income Expense,"-860,876","-860,876","-482,717","-294,808","-311,224"
6,Other Income Expense,"4,819","4,819","13,119","14,402","11,291"
7,Pretax Income,"1,333,063","1,333,063","510,806","1,065,690","379,478"
8,Tax Provision,"172,971","172,971","71,891","147,385","54,993"
9,Net Income Common Stockholders,"474,326","474,326","167,541","386,748","119,988"
10,Average Dilution Earnings,0,0,"-14,096",0,"10,454"
11,Diluted NI Available to Com Stockholders,"474,326","474,326","153,445","386,748","119,988"
12,Basic EPS,2.18,2.44,0.87,2.24,0.89
13,Diluted EPS,2.18,2.42,0.87,2.15,0.87
14,Basic Average Shares,"181,322","184,524","175,511","163,704","135,065"
15,Diluted Average Shares,"181,322","195,773","175,511","180,112","149,508"
16,Total Expenses,"2,797,858","2,797,858","2,749,085","3,410,083","1,450,486"
17,Net Income from Continuing & Discontinued Operation,"474,326","474,326","167,541","408,837","152,142"
18,Normalized Income,"474,326","474,326","167,541","408,837","152,142"
19,Interest Income,-,-,"595,928","447,683","471,723"
20,Interest Expense,"860,876","860,876","482,717","294,808","311,224"
21,Net Interest Income,"-860,876","-860,876","-482,717","-294,808","-311,224"
22,EBIT,"2,193,939","2,193,939","993,523","1,360,498","690,702"
23,EBITDA,"2,425,651","2,425,651","1,334,864","1,473,791","731,950"
24,Reconciled Cost of Revenue,"1,486,698","1,486,698","1,498,590","1,162,633","767,252"
25,Reconciled Depreciation,"231,712","231,712","341,341","113,293","41,248"
26,Net Income from Continuing Operation Net Minority Interest,"474,326","474,326","167,541","408,837","152,142"
27,Total Unusual Items Excluding Goodwill,-,-,"78,118","96,405","-105,872"
28,Total Unusual Items,-,-,"78,118","96,405","-105,872"
29,Normalized EBITDA,"2,425,651","2,425,651","1,334,864","1,473,791","731,950"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,0,0,0,0,0
32,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"24,730,500","22,002,839","21,605,164","15,168,992",
34,Total Liabilities Net Minority Interest,"20,256,187","18,204,221","17,790,738","12,697,218",
35,Total Equity Gross Minority Interest,"4,474,313","3,798,618","3,814,426","2,471,774",
36,Total Capitalization,"17,204,536","14,564,813","13,986,597","11,794,759",
37,Preferred Stock Equity,-,-,-,"298,761",
38,Common Stock Equity,"1,893,399","1,589,239","1,825,227","894,924",
39,Capital Lease Obligations,"319,572","190,616","205,075","180,236",
40,Net Tangible Assets,"-289,072","-618,637","-385,563","600,550",
41,Working Capital,"-1,020,222","-1,222,078","-1,467,281","-6,146",
42,Invested Capital,"17,329,777","14,732,859","14,114,368","11,617,907",
43,Tangible Book Value,"-289,072","-618,637","-385,563","301,789",
44,Total Debt,"15,755,950","13,334,236","12,494,216","10,903,219",
45,Net Debt,"13,938,593","12,028,992","10,896,295","9,660,794",
46,Share Issued,"190,560","177,382","171,841","147,183",
47,Ordinary Shares Number,"190,560","177,382","171,841","147,183",
48,Preferred Shares Number,-,-,-,"12,400",
