,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"266,007","266,007","368,762","278,315","210,576"
1,Pretax Income,"58,569","58,569","265,232","223,515","18,377"
2,Tax Provision,442,442,0,0,-
3,Net Income Common Stockholders,"41,502","41,502","248,828","206,674","1,406"
4,Average Dilution Earnings,0,0,"29,517","38,897",0
5,Diluted NI Available to Com Stockholders,"41,502","41,502","278,345","245,571","1,406"
6,Basic EPS,-0.06,0.29,1.77,1.48,0.01
7,Diluted EPS,-0.06,0.29,1.68,1.46,0.01
8,Basic Average Shares,"141,091","141,281","140,535","139,869","148,004"
9,Diluted Average Shares,"144,507","141,281","165,505","168,403","148,004"
10,Net Income from Continuing & Discontinued Operation,"58,127","58,127","265,232","223,515","18,377"
11,Normalized Income,"57,636","57,636","265,232","224,065","18,377"
12,Interest Income,"718,282","718,282","512,103","428,115","427,569"
13,Interest Expense,"466,110","466,110","270,525","162,522","148,891"
14,Net Interest Income,"252,172","252,172","241,578","265,593","278,678"
15,Reconciled Depreciation,"8,248","8,248",704,"2,645",0
16,Net Income from Continuing Operation Net Minority Interest,"58,127","58,127","265,232","223,515","18,377"
17,Total Unusual Items Excluding Goodwill,495,495,0,-550,0
18,Total Unusual Items,495,495,0,-550,0
19,Tax Rate for Calcs,0,0,0,0,0
20,Tax Effect of Unusual Items,3.7356,3.7356,0,0,0
21,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
22,Total Assets,"9,296,730","9,568,352","8,416,695","6,940,020",
23,Total Liabilities Net Minority Interest,"7,087,997","7,213,848","6,122,069","4,669,491",
24,Total Equity Gross Minority Interest,"2,208,733","2,354,504","2,294,626","2,270,529",
25,Total Capitalization,"3,611,749","4,015,469","4,144,983","3,341,629",
26,Preferred Stock Equity,68,68,68,68,
27,Common Stock Equity,"2,208,665","2,354,436","2,294,558","2,270,461",
28,Net Tangible Assets,"2,208,733","2,354,504","2,294,626","2,270,529",
29,Invested Capital,"9,163,490","9,324,703","8,304,245","6,791,226",
30,Tangible Book Value,"2,208,665","2,354,436","2,294,558","2,270,461",
31,Total Debt,"6,954,825","6,970,267","6,009,687","4,520,765",
32,Net Debt,"6,729,387","6,748,237","5,666,581","4,195,267",
33,Share Issued,"141,359","140,596","139,894","139,296",
34,Ordinary Shares Number,"141,359","140,596","139,894","139,296",
35,Treasury Shares Number,0,-,-,-,
