,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"49,762","37,544","42,039","59,026"
1,Cost of Revenue,"26,378","18,339","20,860","24,360"
2,Gross Profit,"23,384","19,205","21,179","34,666"
3,Operating Expense,"30,984","28,472","41,797","34,778"
4,Operating Income,"-7,600","-9,267","-20,618",-112
5,Net Non Operating Interest Income Expense,"20,021","9,030","-5,659","-11,906"
6,Other Income Expense,"71,450","573,662","31,655","23,138"
7,Pretax Income,"83,871","573,425","5,378","11,120"
8,Tax Provision,"18,908","98,108","-1,067",-147
9,Net Income Common Stockholders,"49,525","373,349","3,347","9,030"
10,Diluted NI Available to Com Stockholders,"49,525","373,349","3,347","9,030"
11,Basic EPS,3.06,23.11,0.21,0.56
12,Diluted EPS,3.06,23.11,0.21,0.56
13,Basic Average Shares,"16,152","16,152","16,152","16,046"
14,Diluted Average Shares,"16,152","16,152","16,152","16,046"
15,Total Operating Income as Reported,"-7,600","-9,267","-20,618",-112
16,Total Expenses,"57,362","46,811","62,657","59,138"
17,Net Income from Continuing & Discontinued Operation,"49,525","373,349","3,347","9,030"
18,Normalized Income,"-5,175","294,949","-9,078","-8,137"
19,Interest Income,"40,490","35,226","23,421","23,098"
20,Interest Expense,"20,469","26,196","29,080","35,004"
21,Net Interest Income,"20,021","9,030","-5,659","-11,906"
22,EBIT,"104,340","599,621","34,458","46,124"
23,EBITDA,"118,560","612,732","49,487","64,703"
24,Reconciled Cost of Revenue,"24,619","14,914","17,701","20,536"
25,Reconciled Depreciation,"14,220","13,111","15,029","18,579"
26,Net Income from Continuing Operation Net Minority Interest,"49,525","373,349","3,347","9,030"
27,Total Unusual Items Excluding Goodwill,"70,621","104,394","17,021","23,517"
28,Total Unusual Items,"70,621","104,394","17,021","23,517"
29,Normalized EBITDA,"47,939","508,338","32,466","41,186"
30,Tax Rate for Calcs,0,0,0,0
31,Tax Effect of Unusual Items,"15,921","25,994","4,596","6,350"
32,Breakdown,12/31/2022,12/31/2021,12/31/2020,
33,Total Assets,"1,197,479","770,569","865,764",
34,Total Liabilities Net Minority Interest,"385,311","433,718","535,358",
35,Total Equity Gross Minority Interest,"812,168","336,851","330,406",
36,Total Capitalization,"742,705","429,590","474,679",
37,Preferred Stock Equity,"1,801","1,801","1,801",
38,Common Stock Equity,"611,686","238,337","234,990",
39,Net Tangible Assets,"613,487","240,138","236,791",
40,Working Capital,"343,606","91,466","69,332",
41,Invested Capital,"928,908","611,181","715,589",
42,Tangible Book Value,"611,686","238,337","234,990",
43,Total Debt,"317,222","372,844","480,599",
44,Net Debt,"203,777","322,096","443,785",
45,Share Issued,"16,152","16,152","16,209",
46,Ordinary Shares Number,"16,152","16,152","16,152",
47,Treasury Shares Number,-,-,57.185,
