,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"491,176","491,176","490,414","435,137","357,154"
1,Cost of Revenue,"323,613","323,613","354,379","327,102","301,765"
2,Gross Profit,"167,563","167,563","136,035","108,035","55,389"
3,Operating Expense,"192,466","192,466","192,914","159,057","160,253"
4,Operating Income,"-24,903","-24,903","-56,879","-51,022","-104,864"
5,Net Non Operating Interest Income Expense,"3,935","3,935",926,11,802
6,Other Income Expense,107,107,302,"-4,341","3,436"
7,Pretax Income,"-20,861","-20,861","-55,651","-55,352","-100,626"
8,Tax Provision,"1,175","1,175",975,677,625
9,Net Income Common Stockholders,"-22,036","-22,036","-56,626","-56,029","-101,251"
10,Diluted NI Available to Com Stockholders,"-22,036","-22,036","-56,626","-56,029","-101,251"
11,Basic EPS,-0.50,-0.24,-0.65,-0.68,-1.30
12,Diluted EPS,-0.50,-0.24,-0.65,-0.68,-1.30
13,Basic Average Shares,"91,217","92,754","87,173","82,688","78,084"
14,Diluted Average Shares,"91,217","92,754","87,173","82,688","78,084"
15,Total Operating Income as Reported,"-24,903","-24,903","-56,879","-60,138","-104,864"
16,Total Expenses,"516,079","516,079","547,293","486,159","462,018"
17,Net Income from Continuing & Discontinued Operation,"-22,036","-22,036","-56,626","-56,029","-101,251"
18,Normalized Income,"-22,036","-22,036","-56,626","-49,374","-101,251"
19,Interest Income,-,"3,935",926,11,802
20,Net Interest Income,"3,935","3,935",926,11,802
21,EBIT,"-24,903","-24,903","-56,879","-51,022","-104,864"
22,EBITDA,"-20,242","-20,242","-52,111","-45,047","-94,658"
23,Reconciled Cost of Revenue,"323,613","323,613","354,379","327,102","301,765"
24,Reconciled Depreciation,"4,661","4,661","4,768","5,975","10,206"
25,Net Income from Continuing Operation Net Minority Interest,"-22,036","-22,036","-56,626","-56,029","-101,251"
26,Total Unusual Items Excluding Goodwill,-,0,0,"-9,116",0
27,Total Unusual Items,-,0,0,"-9,116",0
28,Normalized EBITDA,"-20,242","-20,242","-52,111","-35,931","-94,658"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,0,0,0,"-2,461",0
31,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"285,538","272,201","347,490","413,968",
33,Total Liabilities Net Minority Interest,"182,262","184,506","234,838","280,201",
34,Total Equity Gross Minority Interest,"103,276","87,695","112,652","133,767",
35,Total Capitalization,"103,276","87,695","112,652","133,767",
36,Common Stock Equity,"103,276","87,695","112,652","133,767",
37,Capital Lease Obligations,"17,021","19,279","26,079","29,429",
38,Net Tangible Assets,"92,238","76,657","101,614","122,729",
39,Working Capital,"89,084","70,504","92,693","119,202",
40,Invested Capital,"103,276","87,695","112,652","133,767",
41,Tangible Book Value,"92,238","76,657","101,614","122,729",
42,Total Debt,"17,021","19,279","26,079","29,429",
43,Share Issued,"95,380","88,887","84,453","79,336",
44,Ordinary Shares Number,"95,380","88,887","84,453","79,336",
