,Breakdown,ttm,9/30/2023,9/30/2022,9/30/2021,9/30/2020
0,Total Revenue,"19,347,902","18,853,857","16,326,624","12,095,965","12,829,559"
1,Cost of Revenue,"17,491,073","17,037,797","14,767,570","11,007,080","11,993,667"
2,Gross Profit,"1,856,829","1,816,060","1,559,054","1,088,885","835,892"
3,Operating Expense,"978,638","953,134","930,689","897,441","902,211"
4,Operating Income,"878,191","862,926","628,365","191,444","-66,319"
5,Net Non Operating Interest Income Expense,"-453,196","-439,585","-372,727","-401,366","-382,800"
6,Other Income Expense,"-198,600","427,803",-,"77,070","-198,600"
7,Pretax Income,"852,798","851,144","255,638","-132,852","-647,719"
8,Tax Provision,"188,749","177,614","61,461","-40,633","-186,284"
9,Net Income Common Stockholders,"628,493","674,108","194,484","-90,833","-461,529"
10,Diluted NI Available to Com Stockholders,"628,493","674,108","194,484","-90,833","-461,529"
11,Basic EPS,2.59,2.59,0.76,-0.36,-1.83
12,Diluted EPS,2.57,2.57,0.75,-0.36,-1.83
13,Basic Average Shares,"260,592","260,592","257,314","254,748","251,828"
14,Diluted Average Shares,"262,594","262,594","259,074","254,748","251,828"
15,Total Operating Income as Reported,"878,191","862,926","628,365","191,444","-264,919"
16,Total Expenses,"18,469,711","17,990,931","15,698,259","11,904,521","12,895,878"
17,Net Income from Continuing & Discontinued Operation,"628,493","674,108","194,484","-90,833","-461,529"
18,Normalized Income,"331,028","335,716","194,484","-144,331","-320,126"
19,Interest Income,-,"30,246","17,617","15,250","14,990"
20,Interest Expense,"454,873","441,262","381,533","413,713","389,434"
21,Net Interest Income,"-453,196","-439,585","-372,727","-401,366","-382,800"
22,EBIT,"1,307,671","1,292,406","637,171","280,861","-258,285"
23,EBITDA,"1,856,980","1,838,768","1,169,498","831,553","336,910"
24,Reconciled Cost of Revenue,"17,491,073","17,037,797","14,767,570","11,007,080","11,993,667"
25,Reconciled Depreciation,"549,309","546,362","532,327","550,692","595,195"
26,Net Income from Continuing Operation Net Minority Interest,"664,146","674,108","194,484","-90,833","-461,529"
27,Total Unusual Items Excluding Goodwill,"-198,600","427,803",0,"77,070","-198,600"
28,Total Unusual Items,"-198,600","427,803",0,"77,070","-198,600"
29,Normalized EBITDA,"1,429,177","1,410,965","1,169,498","754,483","535,510"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"94,685","89,411",0,"23,572","-57,197"
32,Breakdown,9/30/2023,9/30/2022,9/30/2021,9/30/2020,
33,Total Assets,"16,871,241","15,082,436","14,376,164","15,712,684",
34,Total Liabilities Net Minority Interest,"13,150,299","12,043,956","11,644,242","12,966,708",
35,Total Equity Gross Minority Interest,"3,720,942","3,038,480","2,731,922","2,745,976",
36,Total Capitalization,"10,379,290","10,375,500","10,116,289","11,914,496",
37,Common Stock Equity,"3,712,718","3,029,640","2,722,872","2,735,988",
38,Capital Lease Obligations,"363,161","374,481","381,658","413,477",
39,Net Tangible Assets,"-4,112,558","-4,798,731","-4,975,697","-4,717,613",
40,Working Capital,"190,060","6,104","41,422","2,328,353",
41,Invested Capital,"11,976,232","10,440,547","10,175,139","12,014,411",
42,Tangible Book Value,"-4,112,558","-4,798,731","-4,975,697","-4,717,613",
43,Total Debt,"8,626,675","7,785,388","7,833,925","9,691,900",
44,Net Debt,"6,300,375","7,081,455","6,919,676","6,769,235",
45,Share Issued,"301,069","297,556","294,329","290,664",
46,Ordinary Shares Number,"261,450","258,729","255,998","253,042",
47,Treasury Shares Number,"39,619","38,827","38,331","37,621",
