,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,0,0,0,0
1,Operating Expense,"32,666","36,946","23,822","21,587"
2,Operating Income,"-32,666","-36,946","-23,822","-21,587"
3,Net Non Operating Interest Income Expense,16,29,-59,-600
4,Other Income Expense,-,-,726,6
5,Pretax Income,"-32,650","-36,917","-23,155","-22,181"
6,Net Income Common Stockholders,"-32,650","-36,917","-23,155","-22,181"
7,Diluted NI Available to Com Stockholders,"-32,650","-36,917","-23,155","-22,181"
8,Basic EPS,-1.65,-1.08,-0.96,-1.35
9,Diluted EPS,-1.65,-1.08,-0.96,-1.35
10,Basic Average Shares,"36,066","34,294","24,104","16,415"
11,Diluted Average Shares,"36,066","34,294","24,104","16,415"
12,Total Operating Income as Reported,"-32,666","-36,946","-23,822","-21,587"
13,Total Expenses,"32,666","36,946","23,822","21,587"
14,Net Income from Continuing & Discontinued Operation,"-32,650","-36,917","-23,155","-22,181"
15,Normalized Income,"-32,650","-36,917","-23,881","-22,181"
16,Interest Income,16,29,5,28
17,Interest Expense,0,0,64,628
18,Net Interest Income,16,29,-59,-600
19,EBIT,"-32,650","-36,917","-23,091","-21,553"
20,EBITDA,"-31,726","-36,025","-21,922","-20,439"
21,Reconciled Depreciation,924,892,"1,169","1,114"
22,Net Income from Continuing Operation Net Minority Interest,"-32,650","-36,917","-23,155","-22,181"
23,Total Unusual Items Excluding Goodwill,0,0,726,0
24,Total Unusual Items,0,0,726,0
25,Normalized EBITDA,"-31,726","-36,025","-22,648","-20,439"
26,Tax Rate for Calcs,0,0,0,0
27,Tax Effect of Unusual Items,0,0,0,0
28,Breakdown,12/31/2022,12/31/2021,12/31/2020,
29,Total Assets,"95,834","69,768","39,516",
30,Total Liabilities Net Minority Interest,"59,754","44,371","20,659",
31,Total Equity Gross Minority Interest,"36,080","25,397","18,857",
32,Total Capitalization,"36,080","25,397","18,857",
33,Common Stock Equity,"36,080","25,397","18,857",
34,Capital Lease Obligations,"48,815","37,989","12,428",
35,Net Tangible Assets,"22,334","11,651","5,111",
36,Working Capital,"2,174","10,181","4,141",
37,Invested Capital,"36,080","25,397","19,579",
38,Tangible Book Value,"22,334","11,651","5,111",
39,Total Debt,"48,815","37,989","13,150",
40,Share Issued,"36,145","27,112","18,688",
41,Ordinary Shares Number,"36,145","27,112","18,688",
