,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"990,337","990,337","845,568","781,461","874,970"
1,Cost of Revenue,"615,260","615,260","583,743","537,863","570,331"
2,Gross Profit,"375,077","375,077","261,825","243,598","304,639"
3,Operating Expense,"116,639","116,639","117,184","107,167","105,100"
4,Operating Income,"258,438","258,438","144,641","136,431","199,539"
5,Net Non Operating Interest Income Expense,"-111,488","-111,488","-101,259","-108,135","-105,716"
6,Other Income Expense,"-4,703","-4,703","17,207","10,665","-179,805"
7,Pretax Income,"142,247","142,247","60,589","38,961","-85,982"
8,Tax Provision,"37,249","37,249","16,293","10,744","-17,537"
9,Net Income Common Stockholders,"103,120","103,120","42,867","27,045","-68,445"
10,Diluted NI Available to Com Stockholders,"103,120","103,120","42,867","27,045","-68,445"
11,Basic EPS,0.53,0.67,0.28,0.18,-0.46
12,Diluted EPS,0.53,0.67,0.28,0.18,-0.46
13,Basic Average Shares,"154,063","154,126","153,281","151,684","150,828"
14,Diluted Average Shares,"154,236","154,344","153,410","151,830","150,828"
15,Total Expenses,"731,899","731,899","700,927","645,030","675,431"
16,Net Income from Continuing & Discontinued Operation,"104,998","104,998","44,296","28,217","-68,445"
17,Normalized Income,"107,668","107,668","30,367","23,927","76,486"
18,Interest Expense,"111,488","111,488","101,259","108,135","105,716"
19,Net Interest Income,"-111,488","-111,488","-101,259","-108,135","-105,716"
20,EBIT,"253,735","253,735","161,848","147,096","19,734"
21,EBITDA,"423,295","423,295","329,313","329,922","216,349"
22,Reconciled Cost of Revenue,"615,260","615,260","583,743","537,863","570,331"
23,Reconciled Depreciation,"169,560","169,560","167,465","182,826","196,615"
24,Net Income from Continuing Operation Net Minority Interest,"104,998","104,998","44,296","28,217","-68,445"
25,Total Unusual Items Excluding Goodwill,"-3,617","-3,617","19,052","5,958","-181,164"
26,Total Unusual Items,"-3,617","-3,617","19,052","5,958","-181,164"
27,Normalized EBITDA,"426,912","426,912","310,261","323,964","397,513"
28,Tax Rate for Calcs,0,0,0,0,0
29,Tax Effect of Unusual Items,-947.1527,-947.1527,"5,123","1,668","-36,233"
30,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
31,Total Assets,"2,655,950","2,598,750","2,589,966","2,779,722",
32,Total Liabilities Net Minority Interest,"1,784,929","1,738,057","1,698,528","1,844,165",
33,Total Equity Gross Minority Interest,"871,021","860,693","891,438","935,557",
34,Total Capitalization,"2,455,890","2,409,027","2,422,263","2,624,424",
35,Common Stock Equity,"871,021","860,693","891,438","935,557",
36,Capital Lease Obligations,"12,271","14,861","15,940","16,925",
37,Net Tangible Assets,"840,839","823,616","843,551","874,026",
38,Working Capital,"61,014","83,389","61,316","70,319",
39,Invested Capital,"2,455,890","2,409,027","2,422,263","2,624,424",
40,Tangible Book Value,"840,839","823,616","843,551","874,026",
41,Total Debt,"1,597,140","1,563,195","1,546,765","1,705,792",
42,Net Debt,"1,583,531","1,546,768","1,529,256","1,687,770",
43,Share Issued,"164,984","163,439","161,483","160,015",
44,Ordinary Shares Number,"155,964","155,628","154,065","152,962",
45,Treasury Shares Number,"9,020","7,811","7,417","7,053",
