,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"-62,505",-,"-225,871","19,170","-22,207"
1,Pretax Income,"-67,965",-,"-229,930","15,363","-215,112"
2,Net Income Common Stockholders,"-79,951",-,"-241,912","3,890","-224,899"
3,Diluted NI Available to Com Stockholders,"-79,951",-,"-241,912","3,890","-224,899"
4,Basic EPS,-1.75,-1.86,-10.25,0.25,-17.85
5,Diluted EPS,-1.75,-2.34,-10.25,0.25,-17.85
6,Basic Average Shares,"38,096","43,038","23,594","15,898","12,614"
7,Diluted Average Shares,"38,096","43,113","23,594","16,063","12,614"
8,Net Income from Continuing & Discontinued Operation,"-67,965",-,"-229,930","15,363","-215,112"
9,Normalized Income,"-74,615",-,"-237,730","9,085","-223,967"
10,Interest Income,"552,906",-,"228,432","80,478","169,754"
11,Interest Expense,"525,761",-,"120,794","7,110","62,971"
12,Net Interest Income,"27,145",-,"107,638","73,368","106,783"
13,Net Income from Continuing Operation Net Minority Interest,"-67,965",-,"-229,930","15,363","-215,112"
14,Total Unusual Items Excluding Goodwill,"6,650",-,"7,800","8,600","8,855"
15,Total Unusual Items,"6,650",-,"7,800","8,600","8,855"
16,Tax Rate for Calcs,0,-,0,0,0
17,Tax Effect of Unusual Items,0,-,0,"2,322",0
18,Breakdown,12/31/2022,12/31/2021,12/31/2020,,
19,Total Assets,"9,437,047","5,277,307","5,524,486",,
20,Total Liabilities Net Minority Interest,"8,324,675","4,133,668","4,586,182",,
21,Total Equity Gross Minority Interest,"1,112,372","1,143,639","938,304",,
22,Preferred Stock Equity,7,7,5,,
23,Common Stock Equity,"1,112,365","1,143,632","938,299",,
24,Net Tangible Assets,"1,112,372","1,143,639","938,304",,
25,Tangible Book Value,"1,112,365","1,143,632","938,299",,
26,Share Issued,"32,582","18,831","13,058",,
27,Ordinary Shares Number,"32,582","18,831","13,058",,
28,Preferred Shares Number,"6,847","6,847","5,347",,
