,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"33,107,120","33,107,120","37,124,422","34,477,018","28,673,363"
1,Cost of Revenue,"28,958,102","28,958,102","32,287,797","30,274,653","25,482,233"
2,Gross Profit,"4,149,018","4,149,018","4,836,625","4,202,365","3,191,130"
3,Operating Expense,"2,597,715","2,597,715","2,757,893","2,635,330","2,278,967"
4,Operating Income,"1,551,303","1,551,303","2,078,732","1,567,035","912,163"
5,Net Non Operating Interest Income Expense,"-328,724","-328,724","-185,648","-131,727","-137,210"
6,Other Income Expense,"-58,225","-58,225","-8,934","1,066","-15,694"
7,Pretax Income,"1,164,354","1,164,354","1,884,150","1,436,374","759,259"
8,Tax Provision,"254,991","254,991","448,992","325,906","172,795"
9,Net Income Common Stockholders,"903,505","903,505","1,426,884","1,108,197","584,438"
10,Diluted NI Available to Com Stockholders,"903,505","903,505","1,426,884","1,108,197","584,438"
11,Basic EPS,18.13,16.03,22.01,15.29,7.49
12,Diluted EPS,17.96,15.84,21.80,15.10,7.43
13,Basic Average Shares,"58,063","56,359","64,838","72,472","77,992"
14,Diluted Average Shares,"58,606","57,035","65,453","73,385","78,635"
15,Total Operating Income as Reported,"1,471,164","1,471,164","2,068,494","1,556,822","894,511"
16,Total Expenses,"31,555,817","31,555,817","35,045,690","32,909,983","27,761,200"
17,Net Income from Continuing & Discontinued Operation,"903,505","903,505","1,426,884","1,108,197","584,438"
18,Normalized Income,"953,983","953,983","1,439,532","1,110,085","596,150"
19,Interest Expense,"328,724","328,724","185,648","131,727","137,210"
20,Net Interest Income,"-328,724","-328,724","-185,648","-131,727","-137,210"
21,EBIT,"1,493,078","1,493,078","2,069,798","1,568,101","896,469"
22,EBITDA,"1,674,194","1,674,194","2,257,180","1,763,221","1,085,527"
23,Reconciled Cost of Revenue,"28,958,102","28,958,102","32,287,797","30,274,653","25,482,233"
24,Reconciled Depreciation,"181,116","181,116","187,382","195,120","189,058"
25,Net Income from Continuing Operation Net Minority Interest,"903,505","903,505","1,426,884","1,108,197","584,438"
26,Total Unusual Items Excluding Goodwill,"-64,632","-64,632","-16,598","-2,442","-15,163"
27,Total Unusual Items,"-64,632","-64,632","-16,598","-2,442","-15,163"
28,Normalized EBITDA,"1,738,826","1,738,826","2,273,778","1,765,663","1,100,690"
29,Tax Rate for Calcs,0,0,0,0,0
30,Tax Effect of Unusual Items,"-14,154","-14,154","-3,950",-554.0775,"-3,451"
31,Breakdown,12/31/2023,12/31/2022,12/31/2021,12/31/2020,
32,Total Assets,"21,726,168","21,763,182","19,535,540","17,053,911",
33,Total Liabilities Net Minority Interest,"15,848,861","16,151,829","14,194,694","11,904,959",
34,Total Equity Gross Minority Interest,"5,877,307","5,611,353","5,340,846","5,148,952",
35,Total Capitalization,"7,959,017","8,729,321","7,526,738","7,187,259",
36,Common Stock Equity,"5,805,464","5,546,357","5,282,295","5,089,319",
37,Net Tangible Assets,"3,627,598","3,359,594","3,006,895","2,740,031",
38,Working Capital,"5,139,593","5,950,736","4,567,234","4,022,016",
39,Invested Capital,"9,612,971","9,319,204","7,909,357","7,345,892",
40,Tangible Book Value,"3,627,598","3,359,594","3,006,895","2,740,031",
41,Total Debt,"3,807,507","3,772,847","2,627,062","2,256,573",
42,Net Debt,"3,589,454","3,595,932","2,404,868","1,882,958",
43,Share Issued,"57,691","125,424","125,424","125,424",
44,Ordinary Shares Number,"53,811","59,249","68,066","74,843",
45,Treasury Shares Number,"3,880","66,175","57,358","50,581",
