,Breakdown,ttm,11/30/2023,11/30/2022,11/30/2021,11/30/2020
0,Total Revenue,"10,823","10,823","-154,764","19,347","179,665"
1,Operating Expense,"1,098","1,098","1,176",999.29,"1,222"
2,Pretax Income,"9,726","9,726","-155,940","18,348","178,443"
3,Net Income Common Stockholders,"9,726","9,726","-155,940","18,348","178,443"
4,Diluted NI Available to Com Stockholders,"9,726","9,726","-155,940","18,348","178,443"
5,Basic EPS,-8.08,0.50,-8.08,0.95,9.25
6,Diluted EPS,-8.08,0.50,-8.08,0.95,9.25
7,Basic Average Shares,"19,300","19,451","19,300","19,314","19,291"
8,Diluted Average Shares,"19,300","19,451","19,300","19,314","19,291"
9,Rent Expense Supplemental,-,-,-,57.956,228.59
10,Net Income from Continuing & Discontinued Operation,"9,726","9,726","-155,940","18,348","178,443"
11,Normalized Income,"9,726","9,726","-155,940","18,348","178,443"
12,Interest Income,97.114,97.114,-,-,-
13,Net Interest Income,97.114,97.114,-,-,-
14,Net Income from Continuing Operation Net Minority Interest,"9,726","9,726","-155,940","18,348","178,443"
15,Tax Rate for Calcs,0,0,0,0,0
16,Tax Effect of Unusual Items,0,0,0,0,0
17,Breakdown,11/30/2023,11/30/2022,11/30/2021,11/30/2020,
18,Total Assets,"335,619","326,264","482,694","464,740",
19,Total Liabilities Net Minority Interest,706.533,691.606,795.712,803.358,
20,Total Equity Gross Minority Interest,"334,912","325,573","481,898","463,936",
21,Common Stock Equity,"334,912","325,573","481,898","463,936",
22,Net Tangible Assets,"334,912","325,573","481,898","463,936",
23,Tangible Book Value,"334,912","325,573","481,898","463,936",
24,Share Issued,"19,290","19,290","19,290","19,290",
25,Ordinary Shares Number,"19,290","19,290","19,290","19,290",
26,Treasury Shares Number,0,-,-,-,
