,Breakdown,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"395,978",-,"445,741","192,484","220,058"
1,Cost of Revenue,"228,871",-,"190,190","123,601","114,095"
2,Gross Profit,"167,107",-,"255,551","68,883","105,963"
3,Operating Expense,"38,977",-,"96,097","88,808","87,363"
4,Operating Income,"128,130",-,"159,454","-19,925","18,600"
5,Net Non Operating Interest Income Expense,"-9,590",-,"-15,066","-16,147","-17,886"
6,Other Income Expense,-262,-,"-5,532",-293,"-6,561"
7,Pretax Income,"118,278",-,"138,856","-36,365","-5,847"
8,Tax Provision,435,-,207,150,199
9,Earnings from Equity Interest Net of Tax,"-1,035",-,-195,-317,0
10,Net Income Common Stockholders,"113,408",-,"135,054","-38,086","-6,046"
11,Diluted NI Available to Com Stockholders,"113,408",-,"135,054","-38,086","-6,046"
12,Basic EPS,3.48,2.76,3.63,-1.12,-0.18
13,Diluted EPS,3.39,2.71,3.52,-1.12,-0.18
14,Basic Average Shares,"40,962","41,130","37,236","33,883","33,242"
15,Diluted Average Shares,"41,969","41,789","38,360","33,883","33,242"
16,Rent Expense Supplemental,"9,380",-,"7,185","3,321",655
17,Total Expenses,"267,848",-,"286,287","212,409","201,458"
18,Net Income from Continuing & Discontinued Operation,"116,808",-,"138,454","-36,832","-6,046"
19,Normalized Income,"117,069",-,"143,978","-36,618","-1,256"
20,Interest Income,"1,818",-,"3,879",55,282
21,Interest Expense,"11,408",-,"17,484","14,579","16,403"
22,Net Interest Income,"-9,590",-,"-15,066","-16,147","-17,886"
23,EBIT,"129,686",-,"156,340","-21,786","10,556"
24,EBITDA,"157,503",-,"185,616","9,916","42,743"
25,Reconciled Cost of Revenue,"228,871",-,"190,190","123,601","114,095"
26,Reconciled Depreciation,"27,817",-,"29,276","31,702","32,187"
27,Net Income from Continuing Operation Net Minority Interest,"116,808",-,"138,454","-36,832","-6,046"
28,Total Unusual Items Excluding Goodwill,-262,-,"-5,532",-293,"-6,561"
29,Total Unusual Items,-262,-,"-5,532",-293,"-6,561"
30,Normalized EBITDA,"157,765",-,"191,148","10,209","49,304"
31,Tax Rate for Calcs,0,-,0,0,0
32,Tax Effect of Unusual Items,-0.9636,-,-8.298,-79.11,"-1,771"
33,Breakdown,12/31/2022,12/31/2021,12/31/2020,,
34,Total Assets,"723,859","724,532","752,008",,
35,Total Liabilities Net Minority Interest,"217,417","395,535","431,673",,
36,Total Equity Gross Minority Interest,"506,442","328,997","320,335",,
37,Total Capitalization,"622,311","458,995","508,390",,
38,Preferred Stock Equity,"37,043","37,043",-,,
39,Common Stock Equity,"469,399","291,954","320,335",,
40,Capital Lease Obligations,"55,827","227,450","199,202",,
41,Net Tangible Assets,"506,442","328,997","320,335",,
42,Working Capital,"104,809","35,716","39,643",,
43,Invested Capital,"598,195","437,055","530,846",,
44,Tangible Book Value,"469,399","291,954","320,335",,
45,Total Debt,"184,623","372,551","409,713",,
46,Net Debt,"78,227","89,652","152,146",,
47,Share Issued,"42,647","36,384","35,207",,
48,Ordinary Shares Number,"40,627","34,364","33,187",,
49,Treasury Shares Number,"2,020","2,020","2,020",,
