,Breakdown,ttm,12/31/2022,12/31/2021,12/31/2020
0,Total Revenue,"43,884","-139,089","64,467","107,735"
1,Operating Expense,"1,078","1,155","1,384","1,065"
2,Pretax Income,"42,807","-140,244","63,083","106,670"
3,Net Income Common Stockholders,"42,807","-140,244","63,083","106,670"
4,Diluted NI Available to Com Stockholders,"42,807","-140,244","63,083","106,670"
5,Basic EPS,0.75,-2.52,1.37,2.46
6,Diluted EPS,0.75,-2.52,1.37,2.46
7,Basic Average Shares,"56,966","55,652","46,046","43,362"
8,Diluted Average Shares,"58,237","55,652","46,046","43,362"
9,Net Income from Continuing & Discontinued Operation,"42,807","-140,244","63,083","106,670"
10,Normalized Income,"42,807","-140,244","63,083","106,670"
11,Net Income from Continuing Operation Net Minority Interest,"42,807","-140,244","63,083","106,670"
12,Tax Rate for Calcs,0,0,0,0
13,Tax Effect of Unusual Items,0,0,0,0
14,Breakdown,12/31/2022,12/31/2021,12/31/2020,
15,Total Assets,"303,909","475,148","349,449",
16,Total Liabilities Net Minority Interest,"4,957","19,186","11,308",
17,Total Equity Gross Minority Interest,"298,952","455,961","338,141",
18,Common Stock Equity,"298,952","455,961","338,141",
19,Net Tangible Assets,"298,952","455,961","338,141",
20,Tangible Book Value,"298,952","455,961","338,141",
21,Share Issued,"57,210","55,276","42,375",
22,Ordinary Shares Number,"57,210","55,276","42,375",
