,Breakdown,ttm,9/30/2023,3/31/2023,9/30/2022,3/31/2022,10/31/2021,9/30/2021,10/31/2020
0,Total Revenue,"10,037","10,037","8,294","-16,150","23,226",-,"37,514",-
1,Operating Expense,"1,786","1,786","1,326","1,261",816.283,-,836.57,-
2,Pretax Income,"8,251","8,251","6,968","-17,411","22,410",-,"36,678",-
3,Net Income Common Stockholders,"8,251","8,251","6,968","-17,411","22,410",-,"36,678",-
4,Diluted NI Available to Com Stockholders,"8,251","8,251","6,968","-17,411","22,410",-,"36,678",-
5,Basic EPS,1.67,-,-,-1.97,-,0.53,4.14,-0.44
6,Diluted EPS,1.67,-,-,-1.97,-,0.53,4.14,-0.44
7,Basic Average Shares,"25,207",-,-,"8,838",-,"9,066","8,859","8,860"
8,Diluted Average Shares,"25,207",-,-,"8,838",-,"9,066","8,859","8,860"
9,Net Income from Continuing & Discontinued Operation,"8,251","8,251","6,968","-17,411","22,410",-,"36,678",-
10,Normalized Income,"8,251","8,251","6,968","-17,411","22,410",-,"36,678",-
11,Interest Income,826.638,826.638,882.263,555.856,-0.03,-,0.135,-
12,Net Interest Income,826.638,826.638,882.263,555.856,-0.03,-,0.135,-
13,Net Income from Continuing Operation Net Minority Interest,"8,251","8,251","6,968","-17,411","22,410",-,"36,678",-
14,Tax Rate for Calcs,0,0,0,0,0,-,0,-
15,Tax Effect of Unusual Items,0,0,0,0,0,-,0,-
16,Breakdown,9/30/2023,9/30/2022,9/30/2021,9/30/2020,,,,
17,Total Assets,"487,276","169,790","197,637","174,543",,,,
18,Total Liabilities Net Minority Interest,"4,352","2,144",451.998,"2,528",,,,
19,Total Equity Gross Minority Interest,"482,924","167,645","197,185","172,015",,,,
20,Common Stock Equity,"482,924","167,645","197,185","172,015",,,,
21,Net Tangible Assets,"482,924","167,645","197,185","172,015",,,,
22,Tangible Book Value,"482,924","167,645","197,185","172,015",,,,
23,Share Issued,"25,207","8,855","8,855","8,855",,,,
24,Ordinary Shares Number,"25,207","8,855","8,855","8,855",,,,
