,Breakdown,ttm,9/30/2023,9/30/2022,9/30/2021,9/30/2020
0,Total Revenue,"2,139,000","2,191,000","2,391,000","2,111,000","2,016,000"
1,Cost of Revenue,"1,538,000","1,523,000","1,561,000","1,441,000","1,417,000"
2,Gross Profit,"601,000","668,000","830,000","670,000","599,000"
3,Operating Expense,"496,000","509,000","542,000","498,000","540,000"
4,Operating Income,"105,000","159,000","288,000","172,000","59,000"
5,Net Non Operating Interest Income Expense,"-46,000","-45,000","-62,000","-88,000","-149,000"
6,Other Income Expense,"55,000","46,000","-20,000","51,000","-487,000"
7,Pretax Income,"114,000","160,000","206,000","135,000","-577,000"
8,Tax Provision,"-40,000","-8,000","25,000","-38,000","-22,000"
9,Net Income Common Stockholders,"164,000","178,000","927,000","220,000","-508,000"
10,Diluted NI Available to Com Stockholders,"164,000","178,000","927,000","220,000","-508,000"
11,Basic EPS,3.36,3.36,16.71,3.86,-8.33
12,Diluted EPS,3.31,3.31,16.41,3.59,-8.39
13,Basic Average Shares,"53,000","53,000","55,000","57,000","61,000"
14,Diluted Average Shares,"54,000","54,000","56,000","61,000","61,000"
15,Total Operating Income as Reported,"117,000","172,000","333,000","192,000","-461,000"
16,Total Expenses,"2,034,000","2,032,000","2,103,000","1,939,000","1,957,000"
17,Net Income from Continuing & Discontinued Operation,"164,000","178,000","927,000","220,000","-508,000"
18,Normalized Income,"108,970","130,080","219,720","140,880","-75,988"
19,Interest Income,"11,000","12,000","4,000","1,000","1,000"
20,Interest Expense,"53,000","54,000","62,000","69,000","88,000"
21,Net Interest Income,"-46,000","-45,000","-62,000","-88,000","-149,000"
22,EBIT,"167,000","214,000","268,000","204,000","-489,000"
23,EBITDA,"428,000","457,000","509,000","448,000","-254,000"
24,Reconciled Cost of Revenue,"1,368,000","1,373,000","1,414,000","1,287,000","1,266,000"
25,Reconciled Depreciation,"261,000","243,000","241,000","244,000","235,000"
26,Net Income from Continuing Operation Net Minority Interest,"154,000","168,000","181,000","173,000","-555,000"
27,Total Unusual Items Excluding Goodwill,"57,000","48,000","-44,000","44,000","-498,000"
28,Total Unusual Items,"57,000","48,000","-44,000","44,000","-498,000"
29,Normalized EBITDA,"371,000","409,000","553,000","404,000","244,000"
30,Tax Rate for Calcs,0,0,0,0,0
31,Tax Effect of Unusual Items,"11,970","10,080","-5,280","11,880","-18,988"
32,Breakdown,9/30/2023,9/30/2022,9/30/2021,9/30/2020,
33,Total Assets,"5,939,000","6,213,000","6,612,000","6,877,000",
34,Total Liabilities Net Minority Interest,"2,842,000","2,993,000","3,860,000","3,841,000",
35,Total Equity Gross Minority Interest,"3,097,000","3,220,000","2,752,000","3,036,000",
36,Total Capitalization,"4,411,000","4,490,000","4,348,000","4,609,000",
37,Common Stock Equity,"3,097,000","3,220,000","2,752,000","3,036,000",
38,Capital Lease Obligations,"128,000","113,000","133,000","136,000",
39,Net Tangible Assets,"843,000","939,000","216,000","714,000",
40,Working Capital,"1,050,000","1,215,000","783,000","734,000",
41,Invested Capital,"4,427,000","4,490,000","4,722,000","4,889,000",
42,Tangible Book Value,"843,000","939,000","216,000","714,000",
43,Total Debt,"1,458,000","1,383,000","2,103,000","1,989,000",
44,Net Debt,"913,000","624,000","1,760,000","1,399,000",
45,Share Issued,"51,000","54,000","57,000","61,000",
46,Ordinary Shares Number,"51,000","54,000","57,000","61,000",
